model,group,seed_count,mean_rate,sd_rate,min_rate,max_rate
adaptive-f3-mcfg,normal-seen-size,5,1.0,0.0,1.0,1.0
adaptive-f3-mcfg,normal-unseen-size,5,1.0,0.0,1.0,1.0
exact-template,fault:currency-server-phase-inversion:all,5,1.0,0.0,1.0,1.0
exact-template,fault:currency-server-phase-inversion:seen-size,5,1.0,0.0,1.0,1.0
exact-template,fault:currency-server-phase-inversion:unseen-size,5,1.0,0.0,1.0,1.0
exact-template,fault:drop-product-currency-server-occurrence:all,5,1.0,0.0,1.0,1.0
exact-template,fault:drop-product-currency-server-occurrence:seen-size,5,1.0,0.0,1.0,1.0
exact-template,fault:drop-product-currency-server-occurrence:unseen-size,5,1.0,0.0,1.0,1.0
exact-template,fault:drop-product-server-occurrence:all,5,1.0,0.0,1.0,1.0
exact-template,fault:drop-product-server-occurrence:seen-size,5,1.0,0.0,1.0,1.0
exact-template,fault:drop-product-server-occurrence:unseen-size,5,1.0,0.0,1.0,1.0
exact-template,fault:duplicate-product-currency-server-occurrence:all,5,1.0,0.0,1.0,1.0
exact-template,fault:duplicate-product-currency-server-occurrence:seen-size,5,1.0,0.0,1.0,1.0
exact-template,fault:duplicate-product-currency-server-occurrence:unseen-size,5,1.0,0.0,1.0,1.0
exact-template,fault:duplicate-product-server-occurrence:all,5,1.0,0.0,1.0,1.0
exact-template,fault:duplicate-product-server-occurrence:seen-size,5,1.0,0.0,1.0,1.0
exact-template,fault:duplicate-product-server-occurrence:unseen-size,5,1.0,0.0,1.0,1.0
exact-template,fault:duplicate-shipping-currency-server-occurrence:all,5,1.0,0.0,1.0,1.0
exact-template,fault:duplicate-shipping-currency-server-occurrence:seen-size,5,1.0,0.0,1.0,1.0
exact-template,fault:duplicate-shipping-currency-server-occurrence:unseen-size,5,1.0,0.0,1.0,1.0
exact-template,normal-all,5,0.5117460317460317,0.07443479817017316,0.4,0.5714285714285714
exact-template,normal-seen-size,5,1.0,0.0,1.0,1.0
exact-template,normal-unseen-size,5,0.0,0.0,0.0,0.0
full-product-f3-mcfg,fault:currency-server-phase-inversion:all,5,1.0,0.0,1.0,1.0
